profile,layer_position,layer_index,head_index,auc,null_mean,null_q95,p_value_perm_ge,positive_rate_profile_beats_anchor
edges_narrow_bal_0.55,7,31,7,0.6342758529138457,0.5147578130971199,0.5333070851888057,0.0,0.3186915887850467
edges_narrow_bal_0.55,0,3,14,0.6322846143634675,0.5147143276653431,0.5336712404812763,0.0,0.3186915887850467
edges_narrow_bal_0.55,0,3,2,0.6321337629581357,0.5136646834735246,0.5288263961800401,0.0,0.3186915887850467
triad_odd_bal_0.45,7,31,8,0.6314395665191356,0.5160946042697214,0.536346735876074,0.0,0.3121495327102804
late_boost_bal_0.60,0,3,13,0.6305176513913864,0.5141421905668584,0.5367977935271049,0.0,0.3355140186915888
late_boost_bal_0.60,0,3,12,0.630411872328589,0.5157028626948589,0.5369119957374955,0.0,0.3355140186915888
triad_odd_bal_0.45,0,3,13,0.6299425605311116,0.5160226015360583,0.5343099127831293,0.0,0.3121495327102804
triad_odd_bal_0.45,0,3,10,0.6299303566779484,0.5163318471752149,0.5351678436605051,0.0,0.3121495327102804
edges_narrow_bal_0.55,1,7,2,0.6293560857479614,0.5177311948638114,0.5418035391751044,0.0,0.3186915887850467
triad_odd_bal_0.45,0,3,5,0.6284658942983599,0.5151937971882323,0.5367401067430356,0.0,0.3121495327102804
late_boost_bal_0.60,3,15,14,0.6271601455833323,0.5140368032783674,0.5350794714181054,0.0,0.3355140186915888
late_boost_bal_0.60,0,3,10,0.6261532856152228,0.514846052286199,0.5369012219440624,0.0,0.3355140186915888
edges_narrow_bal_0.55,1,7,12,0.6243277055702384,0.5152139475198018,0.5374411176681188,0.0,0.3186915887850467
triad_odd_bal_0.45,7,31,4,0.6235884209841187,0.5124895046862797,0.5350148887008592,0.0,0.3121495327102804
late_boost_bal_0.60,0,3,7,0.6231562121692935,0.5146391954522839,0.5363625322724085,0.0,0.3355140186915888
edges_narrow_bal_0.55,7,31,14,0.6217290386943911,0.5158431789017214,0.5317266652989473,0.0,0.3186915887850467
