profile,layer_position,layer_index,head_index,auc,null_mean,null_q95,p_value_perm_ge
edges_narrow_bal_0.55,7,31,4,0.7377271171559946,0.5294641448787964,0.5724274936384876,0.0
constant_2.6,3,15,12,0.7367340887099293,0.5170487249118206,0.5367678387489466,0.0
edges_narrow_bal_0.55,3,15,5,0.7360307138286633,0.5313819734825375,0.5627096322971384,0.0
edges_narrow_bal_0.55,0,3,1,0.735435484591003,0.5271460246127289,0.5687660897903304,0.0
constant_2.6,7,31,10,0.7340106751568499,0.5144266004931798,0.5293463417298748,0.0
edges_narrow_bal_0.55,2,11,4,0.7339771729587358,0.5257900924093392,0.560716358387524,0.0
edges_narrow_bal_0.55,0,3,2,0.7339027693040283,0.5269726640972606,0.5579050162944004,0.0
edges_narrow_bal_0.55,2,11,3,0.7335456317614322,0.5310537045579679,0.567424591895954,0.0
edges_narrow_bal_0.55,6,27,14,0.7315664945462121,0.5344506778172944,0.5931503995476257,0.0
constant_2.6,7,31,6,0.7314940537503511,0.5155245497393639,0.5379486999406936,0.0
edges_narrow_bal_0.55,0,3,14,0.7314176872367971,0.5308370411154594,0.5715964048154045,0.0
edges_narrow_bal_0.55,7,31,1,0.7306736506897219,0.532468564455886,0.5716760167259415,0.0
edges_narrow_bal_0.55,4,19,5,0.7294236692906355,0.5306156158390501,0.5769795092334936,0.0
edges_narrow_bal_0.55,0,3,10,0.729319504174045,0.5337578309846579,0.5780092558146456,0.0
edges_narrow_bal_0.55,7,31,7,0.7276975045014211,0.5318033957828008,0.5808232020356842,0.0
edges_narrow_bal_0.55,3,15,14,0.7270725138018781,0.5237957768485587,0.5587186202586271,0.0
edges_narrow_bal_0.55,4,19,8,0.7256737250933766,0.5265618071159656,0.5777384265115102,0.0
edges_narrow_bal_0.55,3,15,0,0.7238433951875716,0.5293727771908157,0.564211098049136,0.0
constant_2.6,6,27,1,0.7236515591347503,0.5135163248743639,0.5296323391703344,0.0
constant_2.6,1,7,4,0.7235579174079971,0.5144822392858258,0.5268466928863501,0.0
edges_narrow_bal_0.55,1,7,12,0.7232184044880285,0.523044002321394,0.5660674692340888,0.0
baseline,4,19,4,0.7227186609031546,0.5154430240044147,0.5329590729329532,0.0
constant_2.6,5,23,15,0.7220050254393358,0.515524315635047,0.5326907169834878,0.0
edges_narrow_bal_0.55,5,23,6,0.7219312212615884,0.5280763679111917,0.5750569187958512,0.0
edges_narrow_bal_0.55,6,27,6,0.7218940194342346,0.5267165667177572,0.5879458639008348,0.0
edges_narrow_bal_0.55,1,7,6,0.719721432716775,0.5309825746640676,0.568198389904912,0.0
edges_narrow_bal_0.55,3,15,9,0.7197065519858336,0.5314300382434783,0.5763359176202735,0.0
edges_narrow_bal_0.55,5,23,0,0.7193940566360619,0.5257278909540039,0.5592067082335085,0.0
edges_narrow_bal_0.55,1,7,0,0.719155964940998,0.5312739393759021,0.5788656418803292,0.0
constant_2.6,4,19,12,0.7190631145238319,0.5147417829384775,0.5361498033523738,0.0
edges_narrow_bal_0.55,1,7,13,0.7185607357033377,0.5347816252734334,0.5776945283552327,0.0
edges_narrow_bal_0.55,2,11,0,0.7179357450037946,0.5294852755167334,0.5725934137884853,0.0
edges_narrow_bal_0.55,4,19,0,0.7167601672594158,0.5265707355545304,0.5643948750762637,0.0
edges_narrow_bal_0.55,7,31,15,0.7162095802145801,0.5258859243166024,0.5674885790390024,0.0
edges_narrow_bal_0.55,4,19,9,0.7158078004791595,0.5331367092751595,0.5749676344102022,0.0
edges_narrow_bal_0.55,2,11,15,0.7144090117706581,0.5277531584351423,0.5786320144045475,0.0
edges_narrow_bal_0.55,7,31,2,0.7142155622684185,0.5306171039121442,0.5745710629306111,0.0
edges_narrow_bal_0.55,5,23,3,0.7127423699052098,0.5245764199937502,0.5642103540125891,0.0
constant_2.6,1,7,1,0.7112596372943784,0.5161197209476542,0.537207759777757,0.0
edges_narrow_bal_0.55,1,7,2,0.7111054895016443,0.5310031100727668,0.5654142051457568,0.0
constant_2.6,3,15,13,0.7106041452071044,0.5132153447576239,0.5287963916721291,0.0
edges_narrow_bal_0.55,6,27,4,0.710093599797622,0.5250305799020848,0.5608197794675674,0.0
edges_narrow_bal_0.55,4,19,3,0.7099001502953824,0.5292590884064227,0.5713776580705644,0.0
edges_narrow_bal_0.55,0,3,11,0.7098852695644411,0.525686820136605,0.5481875269713248,0.0
